日期,销售额,访问量,转化率%
2026-02-02,1351,13632,9.91
2026-02-03,1320,11408,11.57
2026-02-04,1191,10962,10.86
2026-02-05,1270,12868,9.87
2026-02-06,1332,14297,9.32
2026-02-07,1225,12303,9.96
2026-02-08,1214,10617,11.43
2026-02-09,1243,10849,11.46
2026-02-10,1244,14313,8.69
2026-02-11,1297,15391,8.43
2026-02-12,1230,13695,8.98
2026-02-13,1233,12548,9.83
2026-02-14,1127,13290,8.48
2026-02-15,1143,9442,12.11
2026-02-16,1059,11479,9.23
2026-02-17,1235,14651,8.43
2026-02-18,1158,11617,9.97
2026-02-19,1126,12003,9.38
2026-02-20,1206,11584,10.41
2026-02-21,1072,9733,11.01
2026-02-22,1111,12856,8.64
2026-02-23,1102,13081,8.42
2026-02-24,1109,11298,9.82
2026-02-25,1074,11865,9.05
2026-02-26,982,10127,9.7
2026-02-27,996,9394,10.6
2026-02-28,1062,10478,10.14
2026-03-01,1038,10788,9.62
2026-03-02,973,11296,8.61
2026-03-03,992,10429,9.51